match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
392244,Royal Challengers Bangalore,Deccan Chargers,5/24/2009,2009,New Wanderers Stadium,Johannesburg,South Africa,Royal Challengers Bangalore,Deccan Chargers,field,runs,Result,A Kumble,6,2
419111,Deccan Chargers,Kolkata Knight Riders,3/12/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Kolkata Knight Riders,field,runs,Result,AD Mathews,11,1
419112,Mumbai Indians,Rajasthan Royals,3/13/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,YK Pathan,4,1
419113,Kings XI Punjab,Delhi Daredevils,3/13/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,G Gambhir,5,1
419114,Kolkata Knight Riders,Royal Challengers Bangalore,3/14/2010,2010,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,MK Tiwary,7,1
419115,Chennai Super Kings,Deccan Chargers,3/14/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,WPUJC Vaas,31,1
419116,Rajasthan Royals,Delhi Daredevils,3/15/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,V Sehwag,6,1
419117,Royal Challengers Bangalore,Kings XI Punjab,3/16/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,8,1
419118,Kolkata Knight Riders,Chennai Super Kings,3/16/2010,2010,Eden Gardens,Kolkata,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,55,1
419119,Delhi Daredevils,Mumbai Indians,3/17/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,SR Tendulkar,98,1
419120,Royal Challengers Bangalore,Rajasthan Royals,3/18/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,JH Kallis,10,1
419121,Delhi Daredevils,Chennai Super Kings,3/19/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Chennai Super Kings,bat,wickets,Result,ML Hayden,5,1
419122,Deccan Chargers,Kings XI Punjab,3/19/2010,2010,Barabati Stadium,Cuttack,India,Kings XI Punjab,Deccan Chargers,field,runs,Result,A Symonds,6,1
419123,Rajasthan Royals,Kolkata Knight Riders,3/20/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,AA Jhunjhunwala,34,1
419124,Mumbai Indians,Royal Challengers Bangalore,3/20/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Result,JH Kallis,7,1
419125,Deccan Chargers,Delhi Daredevils,3/21/2010,2010,Barabati Stadium,Cuttack,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,A Symonds,10,1
419126,Chennai Super Kings,Kings XI Punjab,3/21/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Kings XI Punjab,field,Tie,Superover,J Theron,NULL,1
419127,Mumbai Indians,Kolkata Knight Riders,3/22/2010,2010,Brabourne Stadium,Mumbai,India,Kolkata Knight Riders,Mumbai Indians,bat,wickets,Result,SR Tendulkar,7,1
419128,Royal Challengers Bangalore,Chennai Super Kings,3/23/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Royal Challengers Bangalore,field,runs,Result,RV Uthappa,36,1
419129,Kings XI Punjab,Rajasthan Royals,3/24/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Rajasthan Royals,field,runs,Result,AC Voges,31,1
419130,Mumbai Indians,Chennai Super Kings,3/25/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,SR Tendulkar,5,1
419131,Rajasthan Royals,Deccan Chargers,3/26/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Deccan Chargers,Rajasthan Royals,bat,wickets,Result,YK Pathan,8,1
419132,Kings XI Punjab,Kolkata Knight Riders,3/27/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,MK Tiwary,39,1
419133,Royal Challengers Bangalore,Delhi Daredevils,3/25/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Delhi Daredevils,field,runs,Result,KM Jadhav,17,1
419134,Rajasthan Royals,Chennai Super Kings,3/28/2010,2010,"Sardar Patel Stadium, Motera",Ahmedabad,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,NV Ojha,17,1
419135,Deccan Chargers,Mumbai Indians,3/28/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Mumbai Indians,field,runs,Result,Harbhajan Singh,41,1
419136,Delhi Daredevils,Kolkata Knight Riders,3/29/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,DA Warner,40,1
419137,Mumbai Indians,Kings XI Punjab,3/30/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,SL Malinga,4,1
419138,Chennai Super Kings,Royal Challengers Bangalore,3/31/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Royal Challengers Bangalore,Chennai Super Kings,bat,wickets,Result,M Vijay,5,1
419139,Delhi Daredevils,Rajasthan Royals,3/31/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,KD Karthik,67,1
419140,Kolkata Knight Riders,Deccan Chargers,4/1/2010,2010,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly,24,1
419141,Kings XI Punjab,Royal Challengers Bangalore,4/2/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Royal Challengers Bangalore,bat,wickets,Result,KP Pietersen,6,1
419142,Chennai Super Kings,Rajasthan Royals,4/3/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,M Vijay,23,1
419143,Mumbai Indians,Deccan Chargers,4/3/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,AT Rayudu,63,1
419144,Kolkata Knight Riders,Kings XI Punjab,4/4/2010,2010,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kings XI Punjab,bat,wickets,Result,DPMD Jayawardene,8,1
419145,Delhi Daredevils,Royal Challengers Bangalore,4/4/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,PD Collingwood,37,1
419146,Deccan Chargers,Rajasthan Royals,4/5/2010,2010,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,SK Warne,2,1
419147,Chennai Super Kings,Mumbai Indians,4/6/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,SK Raina,24,1
419148,Rajasthan Royals,Kings XI Punjab,4/7/2010,2010,Sawai Mansingh Stadium,Jaipur,India,Kings XI Punjab,Rajasthan Royals,bat,wickets,Result,MJ Lumb,9,1
419149,Kolkata Knight Riders,Delhi Daredevils,4/7/2010,2010,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,SC Ganguly,14,1
419150,Royal Challengers Bangalore,Deccan Chargers,4/8/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,TL Suman,7,1
419151,Kings XI Punjab,Mumbai Indians,4/9/2010,2010,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Kings XI Punjab,bat,wickets,Result,KC Sangakkara,6,1
419152,Deccan Chargers,Chennai Super Kings,4/10/2010,2010,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,Chennai Super Kings,Deccan Chargers,bat,wickets,Result,RJ Harris,6,1
419153,Royal Challengers Bangalore,Kolkata Knight Riders,4/10/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,R Vinay Kumar,7,1
419154,Delhi Daredevils,Kings XI Punjab,4/11/2010,2010,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kings XI Punjab,bat,wickets,Result,PP Chawla,7,1
419155,Rajasthan Royals,Mumbai Indians,4/11/2010,2010,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Mumbai Indians,field,runs,Result,SR Tendulkar,37,1
419156,Deccan Chargers,Royal Challengers Bangalore,4/12/2010,2010,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,Royal Challengers Bangalore,Deccan Chargers,field,runs,Result,Harmeet Singh,13,1
419157,Mumbai Indians,Delhi Daredevils,4/13/2010,2010,Brabourne Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,KA Pollard,39,1
419158,Chennai Super Kings,Kolkata Knight Riders,4/13/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kolkata Knight Riders,Chennai Super Kings,bat,wickets,Result,R Ashwin,9,1
419159,Rajasthan Royals,Royal Challengers Bangalore,4/14/2010,2010,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Royal Challengers Bangalore,bat,wickets,Result,KP Pietersen,5,1
419160,Chennai Super Kings,Delhi Daredevils,4/15/2010,2010,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Delhi Daredevils,bat,wickets,Result,G Gambhir,6,1
419161,Kings XI Punjab,Deccan Chargers,4/16/2010,2010,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,RG Sharma,5,1
419162,Royal Challengers Bangalore,Mumbai Indians,4/17/2010,2010,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Mumbai Indians,field,runs,Result,R McLaren,57,1
419163,Kolkata Knight Riders,Rajasthan Royals,4/17/2010,2010,Eden Gardens,Kolkata,India,Rajasthan Royals,Kolkata Knight Riders,bat,wickets,Result,JD Unadkat,8,1
419164,Kings XI Punjab,Chennai Super Kings,4/18/2010,2010,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,MS Dhoni,6,1
419165,Delhi Daredevils,Deccan Chargers,4/18/2010,2010,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,A Symonds,11,1
419166,Kolkata Knight Riders,Mumbai Indians,4/19/2010,2010,Eden Gardens,Kolkata,India,Mumbai Indians,Kolkata Knight Riders,bat,wickets,Result,M Kartik,9,1
419167,Royal Challengers Bangalore,Mumbai Indians,4/21/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,KA Pollard,35,1
419168,Chennai Super Kings,Deccan Chargers,4/22/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,DE Bollinger,38,1
419169,Royal Challengers Bangalore,Deccan Chargers,4/24/2010,2010,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Royal Challengers Bangalore,bat,wickets,Result,A Kumble,9,1
